application_id,application_date,job_id,job_title,location,salary_min,salary_max,avg_salary,company_name,industry,seeker_id,experience_years,current_location,status
110,2026-04-02,209,Business Analyst,Bangalore,694373,1012451,853412,Amazon,Finance,134,1,Delhi,Shortlisted
111,2026-04-02,151,Data Analyst,Bangalore,660145,1034826,847485,Deloitte,Consulting,147,1,Bangalore,Applied
112,2026-04-02,64,Business Analyst,Hyderabad,431527,1057598,744562,Cognizant,Finance,99,7,Mumbai,Interview
113,2026-04-02,143,SQL Developer,Mumbai,445219,1094906,770062,Deloitte,Analytics,157,4,Pune,Hired
114,2026-04-02,168,SQL Developer,Pune,694811,1208931,951871,Cognizant,Consulting,134,1,Delhi,Rejected
115,2026-04-02,152,Data Analyst,Mumbai,671616,1318263,994939,Cognizant,Analytics,2,1,Pune,Rejected
116,2026-04-02,28,Data Analyst,Bangalore,619424,1120642,870033,Infosys,Finance,193,7,Mumbai,Applied
117,2026-04-02,293,Data Scientist,Pune,431962,954994,693478,Microsoft,Analytics,45,7,Pune,Interview
118,2026-04-02,192,BI Analyst,Mumbai,700404,1351325,1025864,Amazon,Finance,40,7,Delhi,Applied
119,2026-04-02,65,BI Analyst,Mumbai,498944,1485510,992227,Deloitte,IT,170,5,Pune,Applied
120,2026-04-02,149,Data Scientist,Bangalore,787569,1236229,1011899,Microsoft,Analytics,2,1,Pune,Hired
121,2026-04-02,69,BI Analyst,Pune,612812,912473,762642,Cognizant,Ecommerce,71,3,Pune,Applied
122,2026-04-02,93,Data Scientist,Bangalore,416825,1030299,723562,Deloitte,Analytics,67,7,Pune,Interview
123,2026-04-02,133,Data Analyst,Mumbai,603149,1233976,918562,Cognizant,Analytics,73,2,Bangalore,Hired
124,2026-04-02,113,Data Scientist,Hyderabad,620432,1478190,1049311,Deloitte,Analytics,65,1,Delhi,Hired
125,2026-04-02,282,Data Scientist,Bangalore,787673,1473466,1130569,Google,IT,144,6,Pune,Applied
126,2026-04-02,49,SQL Developer,Bangalore,412384,1071941,742162,Cognizant,Analytics,147,1,Bangalore,Interview
127,2026-04-02,166,Data Scientist,Delhi,762217,1193720,977968,Google,Analytics,165,2,Pune,Shortlisted
128,2026-04-02,235,BI Analyst,Delhi,403152,1221507,812329,Capgemini,Consulting,42,3,Delhi,Applied
129,2026-04-02,77,SQL Developer,Bangalore,650466,906187,778326,Cognizant,Analytics,170,5,Pune,Interview
130,2026-04-02,277,BI Analyst,Hyderabad,749670,1316163,1032916,Google,IT,171,8,Hyderabad,Rejected
131,2026-04-02,142,Data Scientist,Mumbai,790213,1331157,1060685,Cognizant,Ecommerce,54,0,Delhi,Interview
132,2026-04-02,91,SQL Developer,Mumbai,523968,1046928,785448,Amazon,IT,4,5,Pune,Applied
133,2026-04-02,272,BI Analyst,Delhi,456537,1023579,740058,Deloitte,Consulting,55,0,Pune,Shortlisted
134,2026-04-02,81,Data Analyst,Hyderabad,616834,1410691,1013762,Microsoft,Analytics,152,5,Mumbai,Hired
135,2026-04-02,50,Data Scientist,Bangalore,780866,1218362,999614,Amazon,Finance,74,0,Mumbai,Hired
136,2026-04-02,273,Data Analyst,Hyderabad,775486,1503562,1139524,Wipro,Ecommerce,147,1,Bangalore,Rejected
137,2026-04-02,35,SQL Developer,Bangalore,626784,1182547,904665,Capgemini,Consulting,198,4,Pune,Applied
138,2026-04-02,137,Business Analyst,Pune,483646,965470,724558,Amazon,Consulting,19,5,Pune,Applied
139,2026-04-02,133,Data Analyst,Mumbai,603149,1233976,918562,Cognizant,Analytics,193,7,Mumbai,Shortlisted
140,2026-04-02,227,Data Analyst,Bangalore,782929,965662,874295,Amazon,Consulting,138,0,Hyderabad,Interview
141,2026-04-02,32,BI Analyst,Hyderabad,743686,1373954,1058820,Deloitte,Consulting,86,4,Hyderabad,Interview
142,2026-04-02,265,Business Analyst,Hyderabad,620687,1114614,867650,Cognizant,Ecommerce,48,8,Bangalore,Hired
143,2026-04-02,261,SQL Developer,Pune,763673,1106302,934987,Amazon,Finance,147,1,Bangalore,Rejected
144,2026-04-02,67,Data Scientist,Mumbai,674620,1224631,949625,Microsoft,Consulting,106,3,Bangalore,Rejected
145,2026-04-02,238,SQL Developer,Pune,710081,1463324,1086702,Cognizant,Finance,64,7,Hyderabad,Hired
146,2026-04-02,192,BI Analyst,Mumbai,700404,1351325,1025864,Amazon,Finance,144,6,Pune,Shortlisted
147,2026-04-02,203,Data Scientist,Mumbai,797699,1151911,974805,Accenture,Analytics,25,2,Delhi,Interview
148,2026-04-02,10,SQL Developer,Mumbai,579352,983944,781648,Amazon,Consulting,60,5,Mumbai,Hired
149,2026-04-02,168,SQL Developer,Pune,694811,1208931,951871,Cognizant,Consulting,51,3,Mumbai,Applied
150,2026-04-02,265,Business Analyst,Hyderabad,620687,1114614,867650,Cognizant,Ecommerce,186,6,Pune,Rejected
151,2026-04-02,58,SQL Developer,Hyderabad,544418,985272,764845,Amazon,Finance,54,0,Delhi,Applied
152,2026-04-02,197,Data Scientist,Delhi,433502,1007738,720620,Cognizant,Finance,53,1,Mumbai,Shortlisted
153,2026-04-02,82,Business Analyst,Bangalore,465323,997936,731629,Deloitte,Analytics,136,7,Bangalore,Interview
154,2026-04-02,271,Data Analyst,Pune,650122,1256647,953384,Accenture,Finance,20,2,Mumbai,Interview
155,2026-04-02,260,BI Analyst,Hyderabad,566229,1313316,939772,TCS,Finance,200,7,Bangalore,Rejected
156,2026-04-02,263,Data Scientist,Mumbai,706006,1198665,952335,Deloitte,Ecommerce,141,4,Mumbai,Rejected
157,2026-04-02,9,SQL Developer,Hyderabad,481959,1136092,809025,Capgemini,Consulting,107,3,Delhi,Interview
158,2026-04-02,175,Data Analyst,Bangalore,664565,1247688,956126,Cognizant,Analytics,187,7,Hyderabad,Rejected
159,2026-04-02,22,SQL Developer,Delhi,498822,929785,714303,Google,IT,155,3,Delhi,Hired
160,2026-04-02,171,Data Scientist,Mumbai,456904,1032245,744574,Accenture,Consulting,158,8,Hyderabad,Hired
161,2026-04-02,258,Business Analyst,Hyderabad,433850,1233294,833572,Cognizant,Consulting,191,3,Pune,Interview
162,2026-04-02,260,BI Analyst,Hyderabad,566229,1313316,939772,TCS,Finance,163,0,Delhi,Hired
163,2026-04-02,107,BI Analyst,Delhi,591788,990298,791043,Cognizant,Analytics,72,7,Hyderabad,Interview
164,2026-04-02,155,Data Analyst,Hyderabad,407208,1066347,736777,Deloitte,Ecommerce,138,0,Hyderabad,Hired
165,2026-04-02,279,BI Analyst,Delhi,403222,907212,655217,Amazon,Consulting,174,1,Pune,Shortlisted
166,2026-04-02,175,Data Analyst,Bangalore,664565,1247688,956126,Cognizant,Analytics,74,0,Mumbai,Interview
167,2026-04-02,237,Data Analyst,Delhi,430228,1093051,761639,Google,IT,55,0,Pune,Hired
168,2026-04-02,128,SQL Developer,Mumbai,681975,1275684,978829,Capgemini,Consulting,13,0,Delhi,Hired
169,2026-04-02,54,Data Analyst,Delhi,528273,1462333,995303,Cognizant,IT,183,3,Pune,Interview
170,2026-04-02,125,Data Analyst,Delhi,625394,977390,801392,Wipro,Analytics,138,0,Hyderabad,Hired
171,2026-04-02,135,Business Analyst,Delhi,730233,941038,835635,Accenture,Consulting,43,2,Hyderabad,Hired
172,2026-04-02,247,SQL Developer,Mumbai,571307,1401542,986424,Cognizant,Analytics,161,5,Pune,Hired
173,2026-04-02,249,BI Analyst,Pune,494397,1388327,941362,Accenture,Analytics,46,7,Bangalore,Hired
174,2026-04-02,160,Data Scientist,Pune,552203,1158720,855461,Wipro,Ecommerce,119,6,Bangalore,Applied
175,2026-04-02,155,Data Analyst,Hyderabad,407208,1066347,736777,Deloitte,Ecommerce,70,3,Bangalore,Rejected
176,2026-04-02,247,SQL Developer,Mumbai,571307,1401542,986424,Cognizant,Analytics,42,3,Delhi,Applied
177,2026-04-02,7,Data Analyst,Pune,661694,1403183,1032438,Amazon,IT,185,8,Hyderabad,Rejected
178,2026-04-02,271,Data Analyst,Pune,650122,1256647,953384,Accenture,Finance,147,1,Bangalore,Hired
179,2026-04-02,192,BI Analyst,Mumbai,700404,1351325,1025864,Amazon,Finance,165,2,Pune,Interview
180,2026-04-02,112,Business Analyst,Mumbai,414953,927778,671365,Wipro,Ecommerce,89,1,Pune,Shortlisted
181,2026-04-02,132,Data Analyst,Hyderabad,727845,1541403,1134624,Cognizant,Finance,90,3,Pune,Applied
182,2026-04-02,31,Business Analyst,Pune,499604,1295419,897511,Cognizant,Finance,118,2,Pune,Interview
183,2026-04-02,25,BI Analyst,Mumbai,772682,1322940,1047811,Deloitte,Ecommerce,159,3,Pune,Interview
184,2026-04-02,272,BI Analyst,Delhi,456537,1023579,740058,Deloitte,Consulting,110,4,Delhi,Hired
185,2026-04-02,116,BI Analyst,Hyderabad,655500,922173,788836,Google,Analytics,13,0,Delhi,Shortlisted
186,2026-04-02,273,Data Analyst,Hyderabad,775486,1503562,1139524,Wipro,Ecommerce,24,0,Bangalore,Hired
187,2026-04-02,147,Business Analyst,Mumbai,442631,1233717,838174,Amazon,Finance,101,3,Hyderabad,Rejected
188,2026-04-02,29,Data Analyst,Pune,432579,1424995,928787,Amazon,Consulting,103,5,Mumbai,Rejected
189,2026-04-02,237,Data Analyst,Delhi,430228,1093051,761639,Google,IT,69,6,Pune,Applied
190,2026-04-02,248,SQL Developer,Delhi,650416,1396489,1023452,Cognizant,Ecommerce,53,1,Mumbai,Applied
191,2026-04-02,65,BI Analyst,Mumbai,498944,1485510,992227,Deloitte,IT,189,5,Pune,Rejected
192,2026-04-02,280,BI Analyst,Delhi,457879,1188801,823340,Capgemini,Consulting,75,7,Hyderabad,Interview
193,2026-04-02,83,Data Analyst,Pune,518528,1508438,1013483,Amazon,IT,176,4,Hyderabad,Applied
194,2026-04-02,31,Business Analyst,Pune,499604,1295419,897511,Cognizant,Finance,107,3,Delhi,Applied
195,2026-04-02,64,Business Analyst,Hyderabad,431527,1057598,744562,Cognizant,Finance,111,1,Delhi,Applied
196,2026-04-02,68,Business Analyst,Hyderabad,565325,985185,775255,Cognizant,Analytics,147,1,Bangalore,Shortlisted
197,2026-04-02,155,Data Analyst,Hyderabad,407208,1066347,736777,Deloitte,Ecommerce,147,1,Bangalore,Interview
198,2026-04-02,42,BI Analyst,Bangalore,621639,952851,787245,Microsoft,Analytics,159,3,Pune,Hired
199,2026-04-02,53,Business Analyst,Bangalore,592460,1353517,972988,Amazon,Consulting,137,1,Delhi,Shortlisted
200,2026-04-02,128,SQL Developer,Mumbai,681975,1275684,978829,Capgemini,Consulting,192,1,Hyderabad,Applied
201,2026-04-02,143,SQL Developer,Mumbai,445219,1094906,770062,Deloitte,Analytics,43,2,Hyderabad,Hired
202,2026-04-02,52,Business Analyst,Pune,750459,1107016,928737,Amazon,Finance,68,8,Hyderabad,Applied
203,2026-04-02,92,SQL Developer,Hyderabad,770984,1196954,983969,Wipro,Ecommerce,181,4,Mumbai,Applied
204,2026-04-02,294,Business Analyst,Delhi,444370,1155528,799949,Google,Ecommerce,149,0,Mumbai,Applied
205,2026-04-02,134,Business Analyst,Pune,758166,1464420,1111293,Infosys,Consulting,151,3,Hyderabad,Shortlisted
206,2026-04-02,290,SQL Developer,Pune,458919,1023869,741394,Deloitte,Consulting,99,7,Mumbai,Interview
207,2026-04-02,156,SQL Developer,Mumbai,774312,1349076,1061694,Cognizant,IT,1,3,Hyderabad,Rejected
208,2026-04-02,53,Business Analyst,Bangalore,592460,1353517,972988,Amazon,Consulting,127,1,Delhi,Interview
209,2026-04-02,112,Business Analyst,Mumbai,414953,927778,671365,Wipro,Ecommerce,156,7,Hyderabad,Interview
210,2026-04-02,155,Data Analyst,Hyderabad,407208,1066347,736777,Deloitte,Ecommerce,166,2,Hyderabad,Rejected
211,2026-04-02,181,Data Scientist,Pune,651667,1284279,967973,Accenture,Consulting,185,8,Hyderabad,Applied
212,2026-04-02,28,Data Analyst,Bangalore,619424,1120642,870033,Infosys,Finance,53,1,Mumbai,Hired
213,2026-04-02,292,Data Analyst,Hyderabad,538399,1104160,821279,Google,IT,91,7,Delhi,Shortlisted
214,2026-04-02,231,Data Analyst,Mumbai,523469,990122,756795,Amazon,Consulting,183,3,Pune,Interview
215,2026-04-02,94,SQL Developer,Pune,561377,1025145,793261,Microsoft,Consulting,94,1,Delhi,Shortlisted
216,2026-04-02,292,Data Analyst,Hyderabad,538399,1104160,821279,Google,IT,20,2,Mumbai,Shortlisted
217,2026-04-02,267,SQL Developer,Bangalore,711816,909357,810586,Accenture,Consulting,57,0,Mumbai,Shortlisted
218,2026-04-02,87,Business Analyst,Mumbai,514173,1143827,829000,Infosys,Finance,186,6,Pune,Shortlisted
219,2026-04-02,272,BI Analyst,Delhi,456537,1023579,740058,Deloitte,Consulting,141,4,Mumbai,Interview
220,2026-04-02,150,Data Scientist,Bangalore,676482,1335335,1005908,Wipro,Ecommerce,35,1,Bangalore,Hired
221,2026-04-02,215,Business Analyst,Hyderabad,789684,1351614,1070649,Amazon,Consulting,61,6,Delhi,Shortlisted
222,2026-04-02,56,SQL Developer,Mumbai,600824,934258,767541,Google,IT,176,4,Hyderabad,Rejected
223,2026-04-02,51,BI Analyst,Mumbai,739029,900050,819539,Accenture,Consulting,51,3,Mumbai,Hired
224,2026-04-02,38,Data Scientist,Pune,463180,1108854,786017,Microsoft,Analytics,107,3,Delhi,Hired
225,2026-04-02,142,Data Scientist,Mumbai,790213,1331157,1060685,Cognizant,Ecommerce,140,3,Pune,Applied
226,2026-04-02,29,Data Analyst,Pune,432579,1424995,928787,Amazon,Consulting,123,5,Pune,Applied
227,2026-04-02,105,Business Analyst,Pune,542335,1323584,932959,Deloitte,IT,164,4,Bangalore,Applied
228,2026-04-02,63,Business Analyst,Pune,424214,1032999,728606,Infosys,Finance,132,2,Hyderabad,Interview
229,2026-04-02,282,Data Scientist,Bangalore,787673,1473466,1130569,Google,IT,89,1,Pune,Interview
230,2026-04-02,171,Data Scientist,Mumbai,456904,1032245,744574,Accenture,Consulting,42,3,Delhi,Interview
231,2026-04-02,68,Business Analyst,Hyderabad,565325,985185,775255,Cognizant,Analytics,168,7,Bangalore,Rejected
232,2026-04-02,218,Data Scientist,Mumbai,652496,1401469,1026982,Deloitte,Analytics,25,2,Delhi,Applied
233,2026-04-02,187,Data Analyst,Pune,762695,1093851,928273,Cognizant,IT,151,3,Hyderabad,Rejected
234,2026-04-02,121,BI Analyst,Mumbai,414579,999583,707081,Google,IT,99,7,Mumbai,Hired
235,2026-04-02,163,SQL Developer,Hyderabad,741986,1339995,1040990,Deloitte,Analytics,138,0,Hyderabad,Rejected
236,2026-04-02,143,SQL Developer,Mumbai,445219,1094906,770062,Deloitte,Analytics,196,5,Delhi,Hired
237,2026-04-02,15,SQL Developer,Hyderabad,587670,938760,763215,Google,IT,43,2,Hyderabad,Shortlisted
238,2026-04-02,185,Data Scientist,Pune,561956,1434059,998007,Infosys,Ecommerce,113,3,Bangalore,Hired
239,2026-04-02,218,Data Scientist,Mumbai,652496,1401469,1026982,Deloitte,Analytics,173,5,Bangalore,Shortlisted
